starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 28 12:36:55 2013	1377668215	0	168	169	121
Wed Aug 28 12:36:59 2013	1377668219	0	169	170	99
Wed Aug 28 12:37:05 2013	1377668225	0	169	170	99
Wed Aug 28 12:37:02 2013	1377668222	0	170	170	98
Wed Aug 28 12:36:50 2013	1377668210	0	170	170	122
Wed Aug 28 12:36:19 2013	1377668179	0	170	171	98
Wed Aug 28 12:36:37 2013	1377668197	0	171	171	100
Wed Aug 28 12:36:30 2013	1377668190	0	171	171	117
Wed Aug 28 12:36:32 2013	1377668192	0	171	171	124
Wed Aug 28 12:36:55 2013	1377668215	0	171	171	123
Wed Aug 28 12:36:43 2013	1377668203	0	172	172	114
Wed Aug 28 12:37:07 2013	1377668227	0	172	172	102
Wed Aug 28 12:36:59 2013	1377668219	0	172	172	80
Wed Aug 28 12:36:38 2013	1377668198	1	172	173	101
Wed Aug 28 12:36:20 2013	1377668180	0	173	173	76
Wed Aug 28 12:36:30 2013	1377668190	0	174	174	142
Wed Aug 28 12:36:33 2013	1377668193	0	174	174	125
Wed Aug 28 12:36:58 2013	1377668218	0	175	175	101
Wed Aug 28 12:36:40 2013	1377668200	0	175	175	81
Wed Aug 28 12:36:57 2013	1377668217	0	176	177	152
Wed Aug 28 12:36:35 2013	1377668195	0	177	177	79
Wed Aug 28 12:36:38 2013	1377668198	0	177	178	108
Wed Aug 28 12:36:58 2013	1377668218	0	178	178	152
Wed Aug 28 12:36:23 2013	1377668183	0	178	178	109
Wed Aug 28 12:37:00 2013	1377668220	0	178	178	108
Wed Aug 28 12:36:47 2013	1377668207	0	179	179	94
Wed Aug 28 12:36:48 2013	1377668208	0	180	181	154
Wed Aug 28 12:36:55 2013	1377668215	0	181	181	154
Wed Aug 28 12:36:46 2013	1377668206	0	181	181	123
Wed Aug 28 12:36:37 2013	1377668197	0	181	181	88
Wed Aug 28 12:36:34 2013	1377668194	0	181	182	116
Wed Aug 28 12:36:51 2013	1377668211	0	182	182	124
Wed Aug 28 12:36:56 2013	1377668216	1	181	182	108
Wed Aug 28 12:36:37 2013	1377668197	0	183	183	159
Wed Aug 28 12:36:30 2013	1377668190	0	183	183	121
Wed Aug 28 12:37:00 2013	1377668220	0	183	184	128
Wed Aug 28 12:36:30 2013	1377668190	0	183	184	140
Wed Aug 28 12:36:30 2013	1377668190	0	184	184	139
Wed Aug 28 12:36:36 2013	1377668196	0	184	184	72
Wed Aug 28 12:36:51 2013	1377668211	0	184	185	133
Wed Aug 28 12:36:27 2013	1377668187	0	185	185	89
Wed Aug 28 12:37:01 2013	1377668221	0	186	186	138
Wed Aug 28 12:36:28 2013	1377668188	0	186	187	109
Wed Aug 28 12:36:30 2013	1377668190	0	187	187	126
Wed Aug 28 12:36:30 2013	1377668190	0	189	189	128
Wed Aug 28 12:37:00 2013	1377668220	0	189	189	131
Wed Aug 28 12:36:56 2013	1377668216	0	189	190	143
Wed Aug 28 12:36:50 2013	1377668210	0	190	190	138
Wed Aug 28 12:36:45 2013	1377668205	0	190	191	138
Wed Aug 28 12:36:37 2013	1377668197	0	190	191	101
Wed Aug 28 12:36:56 2013	1377668216	0	191	191	112
Wed Aug 28 12:36:53 2013	1377668213	0	192	192	141
Wed Aug 28 12:36:55 2013	1377668215	0	194	194	132
Wed Aug 28 12:37:00 2013	1377668220	0	194	194	119
Wed Aug 28 12:36:45 2013	1377668205	0	195	195	139
Wed Aug 28 12:36:38 2013	1377668198	0	195	196	172
Wed Aug 28 12:36:53 2013	1377668213	0	197	197	140
Wed Aug 28 12:36:29 2013	1377668189	0	197	197	122
Wed Aug 28 12:36:45 2013	1377668205	0	197	198	121
Wed Aug 28 12:36:38 2013	1377668198	1	197	198	131
Wed Aug 28 12:36:39 2013	1377668199	0	198	198	159
Wed Aug 28 12:37:02 2013	1377668222	0	199	199	174
Wed Aug 28 12:36:57 2013	1377668217	0	200	200	95
Wed Aug 28 12:36:37 2013	1377668197	0	200	200	176
Wed Aug 28 12:36:22 2013	1377668182	0	201	201	113
Wed Aug 28 12:36:33 2013	1377668193	0	202	202	129
Wed Aug 28 12:36:33 2013	1377668193	0	203	203	102
Wed Aug 28 12:36:55 2013	1377668215	0	203	204	100
Wed Aug 28 12:36:53 2013	1377668213	0	205	205	139
Wed Aug 28 12:36:45 2013	1377668205	0	205	205	95
Wed Aug 28 12:36:56 2013	1377668216	0	206	207	181
Wed Aug 28 12:36:50 2013	1377668210	0	207	207	136
Wed Aug 28 12:36:59 2013	1377668219	0	207	207	144
Wed Aug 28 12:36:42 2013	1377668202	0	212	212	142
Wed Aug 28 12:36:51 2013	1377668211	0	212	212	147
Wed Aug 28 12:36:54 2013	1377668214	0	212	212	142
Wed Aug 28 12:36:56 2013	1377668216	0	213	213	180
Wed Aug 28 12:36:42 2013	1377668202	0	214	214	143
Wed Aug 28 12:36:34 2013	1377668194	0	214	214	144
Wed Aug 28 12:36:58 2013	1377668218	0	215	215	145
Wed Aug 28 12:36:30 2013	1377668190	0	216	216	140
Wed Aug 28 12:36:43 2013	1377668203	0	216	216	157
